Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_7L.dat
status= OPTIMAL
ID = 7
Numero de clientes = 20
OF (custo) = 164.62000000000003
Best Objective = 164.62000000000003
Best Bound = 164.62
GAP = 0.0%
x[1, 13, A] = 1.0
x[2, 10, B] = 1.0
x[3, 2, B] = 1.0
x[3, B, B] = 1.0
x[4, 8, B] = 1.0
x[5, 3, B] = 1.0
x[6, 5, B] = 1.0
x[7, 12, A] = 1.0
x[8, 6, B] = 1.0
x[9, 18, B] = 1.0
x[10, 14, B] = 1.0
x[11, 19, B] = 1.0
x[12, A, A] = 1.0
x[13, 20, A] = 1.0
x[14, 11, B] = 1.0
x[15, 4, B] = 1.0
x[16, 15, B] = 1.0
x[17, 7, A] = 1.0
x[18, 16, B] = 1.0
x[19, 9, B] = 1.0
x[20, 17, A] = 1.0
x[A, 1, A] = 1.0
x[B, 3, B] = 1.0
l[1, 13, A, 7] = 3.0
l[1, 13, A, 12] = 19.0
l[1, 13, A, 13] = 11.0
l[1, 13, A, 17] = 2.0
l[1, 13, A, 20] = 4.0
l[2, 10, B, 4] = 1.0
l[2, 10, B, 5] = 26.0
l[2, 10, B, 6] = 2.0
l[2, 10, B, 8] = 9.0
l[2, 10, B, 9] = 8.0
l[2, 10, B, 11] = 6.0
l[2, 10, B, 14] = 10.0
l[2, 10, B, 15] = 6.0
l[2, 10, B, 16] = 8.0
l[2, 10, B, 18] = 12.0
l[2, 10, B, 19] = 9.0
l[3, 2, B, 2] = 7.0
l[3, 2, B, 4] = 1.0
l[3, 2, B, 5] = 26.0
l[3, 2, B, 6] = 2.0
l[3, 2, B, 8] = 9.0
l[3, 2, B, 9] = 8.0
l[3, 2, B, 11] = 6.0
l[3, 2, B, 14] = 10.0
l[3, 2, B, 15] = 6.0
l[3, 2, B, 16] = 8.0
l[3, 2, B, 18] = 12.0
l[3, 2, B, 19] = 9.0
l[4, 8, B, 5] = 26.0
l[4, 8, B, 6] = 2.0
l[4, 8, B, 8] = 9.0
l[6, 5, B, 5] = 26.0
l[7, 12, A, 12] = 19.0
l[8, 6, B, 5] = 26.0
l[8, 6, B, 6] = 2.0
l[9, 18, B, 4] = 1.0
l[9, 18, B, 5] = 26.0
l[9, 18, B, 6] = 2.0
l[9, 18, B, 8] = 9.0
l[9, 18, B, 15] = 6.0
l[9, 18, B, 16] = 8.0
l[9, 18, B, 18] = 12.0
l[10, 14, B, 4] = 1.0
l[10, 14, B, 5] = 26.0
l[10, 14, B, 6] = 2.0
l[10, 14, B, 8] = 9.0
l[10, 14, B, 9] = 8.0
l[10, 14, B, 11] = 6.0
l[10, 14, B, 14] = 10.0
l[10, 14, B, 15] = 6.0
l[10, 14, B, 16] = 8.0
l[10, 14, B, 18] = 12.0
l[10, 14, B, 19] = 9.0
l[11, 19, B, 4] = 1.0
l[11, 19, B, 5] = 26.0
l[11, 19, B, 6] = 2.0
l[11, 19, B, 8] = 9.0
l[11, 19, B, 9] = 8.0
l[11, 19, B, 15] = 6.0
l[11, 19, B, 16] = 8.0
l[11, 19, B, 18] = 12.0
l[11, 19, B, 19] = 9.0
l[13, 20, A, 7] = 3.0
l[13, 20, A, 12] = 19.0
l[13, 20, A, 17] = 2.0
l[13, 20, A, 20] = 4.0
l[14, 11, B, 4] = 1.0
l[14, 11, B, 5] = 26.0
l[14, 11, B, 6] = 2.0
l[14, 11, B, 8] = 9.0
l[14, 11, B, 9] = 8.0
l[14, 11, B, 11] = 6.0
l[14, 11, B, 15] = 6.0
l[14, 11, B, 16] = 8.0
l[14, 11, B, 18] = 12.0
l[14, 11, B, 19] = 9.0
l[15, 4, B, 4] = 1.0
l[15, 4, B, 5] = 26.0
l[15, 4, B, 6] = 2.0
l[15, 4, B, 8] = 9.0
l[16, 15, B, 4] = 1.0
l[16, 15, B, 5] = 26.0
l[16, 15, B, 6] = 2.0
l[16, 15, B, 8] = 9.0
l[16, 15, B, 15] = 6.0
l[17, 7, A, 7] = 3.0
l[17, 7, A, 12] = 19.0
l[18, 16, B, 4] = 1.0
l[18, 16, B, 5] = 26.0
l[18, 16, B, 6] = 2.0
l[18, 16, B, 8] = 9.0
l[18, 16, B, 15] = 6.0
l[18, 16, B, 16] = 8.0
l[19, 9, B, 4] = 1.0
l[19, 9, B, 5] = 26.0
l[19, 9, B, 6] = 2.0
l[19, 9, B, 8] = 9.0
l[19, 9, B, 9] = 8.0
l[19, 9, B, 15] = 6.0
l[19, 9, B, 16] = 8.0
l[19, 9, B, 18] = 12.0
l[20, 17, A, 7] = 3.0
l[20, 17, A, 12] = 19.0
l[20, 17, A, 17] = 2.0
l[A, 1, A, 1] = 5.0
l[A, 1, A, 7] = 3.0
l[A, 1, A, 12] = 19.0
l[A, 1, A, 13] = 11.0
l[A, 1, A, 17] = 2.0
l[A, 1, A, 20] = 4.0
l[B, 3, B, 2] = 7.0
l[B, 3, B, 3] = 13.0
l[B, 3, B, 4] = 1.0
l[B, 3, B, 5] = 26.0
l[B, 3, B, 6] = 2.0
l[B, 3, B, 8] = 9.0
l[B, 3, B, 9] = 8.0
l[B, 3, B, 11] = 6.0
l[B, 3, B, 14] = 10.0
l[B, 3, B, 15] = 6.0
l[B, 3, B, 16] = 8.0
l[B, 3, B, 18] = 12.0
