Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_2L.dat
status= TIME_LIMIT
ID = 2
Numero de clientes = 29
OF (custo) = 313.53
Best Objective = 313.53
Best Bound = 300.21
GAP = 4.248397282556692%
O tempo limite foi atingido.
x[1, 12, A] = 1.0
x[2, 15, B] = 1.0
x[3, B, B] = 1.0
x[4, 11, B] = 1.0
x[5, 24, A] = 1.0
x[5, A, A] = 1.0
x[6, 20, B] = 1.0
x[7, 6, B] = 1.0
x[8, 4, B] = 1.0
x[8, 13, A] = 1.0
x[9, 21, A] = 1.0
x[10, A, A] = 1.0
x[11, 7, B] = 1.0
x[12, 17, A] = 1.0
x[13, 9, A] = 1.0
x[14, 23, A] = 1.0
x[15, 3, B] = 1.0
x[15, 29, B] = 1.0
x[16, 1, A] = 1.0
x[17, 8, A] = 1.0
x[18, 15, B] = 1.0
x[19, 18, B] = 1.0
x[20, 23, B] = 1.0
x[21, 5, A] = 1.0
x[22, 14, A] = 1.0
x[22, 27, B] = 1.0
x[23, 16, A] = 1.0
x[23, 19, B] = 1.0
x[23, 28, A] = 1.0
x[23, 28, B] = 1.0
x[24, 26, A] = 1.0
x[25, 2, B] = 1.0
x[26, 23, A] = 1.0
x[27, 25, B] = 1.0
x[28, 10, A] = 1.0
x[28, 22, B] = 1.0
x[29, 23, B] = 1.0
x[A, 5, A] = 1.0
x[A, 22, A] = 1.0
x[B, 8, B] = 1.0
l[1, 12, A, 8] = 5.0
l[1, 12, A, 9] = 8.0
l[1, 12, A, 13] = 23.0
l[1, 12, A, 17] = 1.0
l[1, 12, A, 21] = 11.0
l[4, 11, B, 2] = 3.0
l[4, 11, B, 6] = 3.0
l[4, 11, B, 7] = 5.0
l[4, 11, B, 11] = 11.0
l[4, 11, B, 19] = 10.0
l[4, 11, B, 20] = 9.0
l[4, 11, B, 25] = 6.0
l[4, 11, B, 27] = 16.0
l[4, 11, B, 29] = 16.0
l[5, 24, A, 9] = 8.0
l[5, 24, A, 16] = 3.0
l[5, 24, A, 17] = 1.0
l[5, 24, A, 21] = 11.0
l[5, 24, A, 24] = 2.0
l[5, 24, A, 26] = 17.0
l[6, 20, B, 2] = 3.0
l[6, 20, B, 19] = 10.0
l[6, 20, B, 20] = 9.0
l[6, 20, B, 25] = 6.0
l[6, 20, B, 27] = 16.0
l[6, 20, B, 29] = 16.0
l[7, 6, B, 2] = 3.0
l[7, 6, B, 6] = 3.0
l[7, 6, B, 19] = 10.0
l[7, 6, B, 20] = 9.0
l[7, 6, B, 25] = 6.0
l[7, 6, B, 27] = 16.0
l[7, 6, B, 29] = 16.0
l[8, 4, B, 2] = 3.0
l[8, 4, B, 4] = 19.0
l[8, 4, B, 6] = 3.0
l[8, 4, B, 7] = 5.0
l[8, 4, B, 11] = 11.0
l[8, 4, B, 19] = 10.0
l[8, 4, B, 20] = 9.0
l[8, 4, B, 25] = 6.0
l[8, 4, B, 27] = 16.0
l[8, 4, B, 29] = 16.0
l[8, 13, A, 9] = 8.0
l[8, 13, A, 13] = 23.0
l[8, 13, A, 21] = 11.0
l[9, 21, A, 21] = 11.0
l[11, 7, B, 2] = 3.0
l[11, 7, B, 6] = 3.0
l[11, 7, B, 7] = 5.0
l[11, 7, B, 19] = 10.0
l[11, 7, B, 20] = 9.0
l[11, 7, B, 25] = 6.0
l[11, 7, B, 27] = 16.0
l[11, 7, B, 29] = 16.0
l[12, 17, A, 8] = 5.0
l[12, 17, A, 9] = 8.0
l[12, 17, A, 13] = 23.0
l[12, 17, A, 17] = 1.0
l[12, 17, A, 21] = 11.0
l[13, 9, A, 9] = 8.0
l[13, 9, A, 21] = 11.0
l[14, 23, A, 1] = 6.0
l[14, 23, A, 8] = 5.0
l[14, 23, A, 13] = 23.0
l[14, 23, A, 16] = 16.0
l[14, 23, A, 23] = 15.0
l[14, 23, A, 28] = 8.0
l[15, 29, B, 29] = 16.0
l[16, 1, A, 1] = 6.0
l[16, 1, A, 8] = 5.0
l[16, 1, A, 9] = 8.0
l[16, 1, A, 13] = 23.0
l[16, 1, A, 17] = 1.0
l[16, 1, A, 21] = 11.0
l[17, 8, A, 8] = 5.0
l[17, 8, A, 9] = 8.0
l[17, 8, A, 13] = 23.0
l[17, 8, A, 21] = 11.0
l[18, 15, B, 29] = 16.0
l[19, 18, B, 29] = 16.0
l[20, 23, B, 2] = 3.0
l[20, 23, B, 19] = 10.0
l[20, 23, B, 25] = 6.0
l[20, 23, B, 27] = 16.0
l[20, 23, B, 29] = 16.0
l[22, 14, A, 1] = 6.0
l[22, 14, A, 8] = 5.0
l[22, 14, A, 13] = 23.0
l[22, 14, A, 14] = 10.0
l[22, 14, A, 16] = 16.0
l[22, 14, A, 23] = 15.0
l[22, 14, A, 28] = 8.0
l[22, 27, B, 2] = 3.0
l[22, 27, B, 25] = 6.0
