Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8043.dat
status= TIME_LIMIT
ID = 8043
Numero de clientes = 25
OF (custo) = 960.9300000000001
Best Objective = 960.9300000000001
Best Bound = 858.48
GAP = 10.661546626705382%
O tempo limite foi atingido.
x[1, 25, A] = 1.0
x[2, 8, B] = 1.0
x[3, 18, A] = 1.0
x[4, B, B] = 1.0
x[5, 24, B] = 1.0
x[6, 1, A] = 1.0
x[7, 23, B] = 1.0
x[8, 7, B] = 1.0
x[9, 11, B] = 1.0
x[10, 12, B] = 1.0
x[11, B, B] = 1.0
x[12, 16, B] = 1.0
x[13, 21, A] = 1.0
x[14, 17, B] = 1.0
x[15, 9, B] = 1.0
x[16, 15, B] = 1.0
x[17, 10, B] = 1.0
x[18, 19, A] = 1.0
x[19, 6, A] = 1.0
x[20, 13, A] = 1.0
x[21, A, A] = 1.0
x[22, 2, B] = 1.0
x[23, 5, B] = 1.0
x[24, B, B] = 1.0
x[25, 20, A] = 1.0
x[A, 3, A] = 1.0
x[B, 4, B] = 1.0
x[B, 14, B] = 1.0
x[B, 22, B] = 1.0
l[1, 25, A, 13] = 35.0
l[1, 25, A, 25] = 46.0
l[2, 8, B, 5] = 45.0
l[2, 8, B, 7] = 50.0
l[2, 8, B, 8] = 46.0
l[2, 8, B, 23] = 33.0
l[2, 8, B, 24] = 38.0
l[3, 18, A, 1] = 21.0
l[3, 18, A, 6] = 16.0
l[3, 18, A, 13] = 35.0
l[3, 18, A, 18] = 45.0
l[3, 18, A, 19] = 46.0
l[3, 18, A, 25] = 46.0
l[5, 24, B, 24] = 38.0
l[6, 1, A, 1] = 21.0
l[6, 1, A, 13] = 35.0
l[6, 1, A, 25] = 46.0
l[7, 23, B, 5] = 45.0
l[7, 23, B, 23] = 33.0
l[7, 23, B, 24] = 38.0
l[8, 7, B, 5] = 45.0
l[8, 7, B, 7] = 50.0
l[8, 7, B, 23] = 33.0
l[8, 7, B, 24] = 38.0
l[9, 11, B, 11] = 13.0
l[10, 12, B, 11] = 13.0
l[10, 12, B, 16] = 25.0
l[12, 16, B, 11] = 13.0
l[12, 16, B, 16] = 25.0
l[14, 17, B, 11] = 13.0
l[14, 17, B, 16] = 25.0
l[14, 17, B, 17] = 20.0
l[15, 9, B, 11] = 13.0
l[16, 15, B, 11] = 13.0
l[17, 10, B, 11] = 13.0
l[17, 10, B, 16] = 25.0
l[18, 19, A, 1] = 21.0
l[18, 19, A, 6] = 16.0
l[18, 19, A, 13] = 35.0
l[18, 19, A, 19] = 46.0
l[18, 19, A, 25] = 46.0
l[19, 6, A, 1] = 21.0
l[19, 6, A, 6] = 16.0
