Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8096.dat
status= TIME_LIMIT
ID = 8096
Numero de clientes = 30
OF (custo) = 680.3
Best Objective = 680.3
Best Bound = 605.96
GAP = 10.92753197118917%
O tempo limite foi atingido.
x[1, 25, B] = 1.0
x[1, 30, B] = 1.0
x[2, 11, A] = 1.0
x[3, 12, A] = 1.0
x[4, 10, A] = 1.0
x[5, 14, B] = 1.0
x[5, 26, A] = 1.0
x[6, 7, B] = 1.0
x[7, 22, B] = 1.0
x[8, 13, A] = 1.0
x[9, 5, B] = 1.0
x[10, 20, A] = 1.0
x[11, 16, A] = 1.0
x[11, 21, A] = 1.0
x[12, 2, A] = 1.0
x[12, 8, A] = 1.0
x[13, 23, A] = 1.0
x[14, 19, B] = 1.0
x[15, 29, A] = 1.0
x[16, A, A] = 1.0
x[17, 18, B] = 1.0
x[18, 28, B] = 1.0
x[19, 6, B] = 1.0
x[20, 15, A] = 1.0
x[21, 27, A] = 1.0
x[22, 17, B] = 1.0
x[23, 4, A] = 1.0
x[24, 12, A] = 1.0
x[25, B, B] = 1.0
x[26, 24, A] = 1.0
x[26, A, A] = 1.0
x[27, 3, A] = 1.0
x[28, 30, B] = 1.0
x[29, 5, A] = 1.0
x[30, 1, B] = 1.0
x[30, 9, B] = 1.0
x[A, 11, A] = 1.0
x[A, 26, A] = 1.0
x[B, 1, B] = 1.0
l[1, 25, B, 25] = 31.0
l[1, 30, B, 7] = 25.0
l[1, 30, B, 17] = 31.0
l[1, 30, B, 18] = 21.0
l[1, 30, B, 19] = 27.0
l[1, 30, B, 22] = 9.0
l[1, 30, B, 28] = 11.0
l[1, 30, B, 30] = 13.0
l[3, 12, A, 10] = 22.0
l[3, 12, A, 12] = 31.0
l[3, 12, A, 13] = 29.0
l[3, 12, A, 15] = 34.0
l[4, 10, A, 5] = 6.0
l[4, 10, A, 10] = 22.0
l[4, 10, A, 15] = 34.0
l[4, 10, A, 20] = 31.0
l[4, 10, A, 27] = 3.0
l[4, 10, A, 29] = 7.0
l[5, 14, B, 7] = 25.0
l[5, 14, B, 17] = 31.0
l[5, 14, B, 18] = 21.0
l[5, 14, B, 19] = 27.0
l[5, 14, B, 22] = 9.0
l[5, 14, B, 28] = 11.0
l[5, 26, A, 27] = 3.0
l[6, 7, B, 7] = 25.0
l[6, 7, B, 17] = 31.0
l[6, 7, B, 18] = 21.0
l[6, 7, B, 22] = 9.0
l[6, 7, B, 28] = 11.0
l[7, 22, B, 17] = 31.0
l[7, 22, B, 18] = 21.0
l[7, 22, B, 22] = 9.0
l[7, 22, B, 28] = 11.0
l[8, 13, A, 5] = 6.0
l[8, 13, A, 10] = 22.0
l[8, 13, A, 13] = 29.0
l[8, 13, A, 15] = 34.0
l[8, 13, A, 20] = 31.0
l[8, 13, A, 23] = 21.0
l[8, 13, A, 27] = 3.0
l[8, 13, A, 29] = 7.0
l[9, 5, B, 7] = 25.0
l[9, 5, B, 17] = 31.0
l[9, 5, B, 18] = 21.0
l[9, 5, B, 19] = 27.0
l[9, 5, B, 22] = 9.0
l[9, 5, B, 28] = 11.0
l[10, 20, A, 5] = 6.0
l[10, 20, A, 15] = 34.0
l[10, 20, A, 20] = 31.0
l[10, 20, A, 27] = 3.0
l[10, 20, A, 29] = 7.0
l[11, 21, A, 10] = 22.0
l[11, 21, A, 12] = 31.0
l[11, 21, A, 13] = 29.0
l[11, 21, A, 15] = 34.0
l[11, 21, A, 21] = 26.0
l[11, 21, A, 27] = 28.0
l[12, 2, A, 2] = 23.0
l[12, 8, A, 5] = 6.0
l[12, 8, A, 8] = 1.0
l[12, 8, A, 10] = 22.0
l[12, 8, A, 13] = 29.0
l[12, 8, A, 15] = 34.0
l[12, 8, A, 20] = 31.0
l[12, 8, A, 23] = 21.0
l[12, 8, A, 27] = 3.0
l[12, 8, A, 29] = 7.0
l[13, 23, A, 5] = 6.0
l[13, 23, A, 10] = 22.0
l[13, 23, A, 15] = 34.0
l[13, 23, A, 20] = 31.0
l[13, 23, A, 23] = 21.0
l[13, 23, A, 27] = 3.0
l[13, 23, A, 29] = 7.0
l[14, 19, B, 7] = 25.0
l[14, 19, B, 17] = 31.0
l[14, 19, B, 18] = 21.0
l[14, 19, B, 19] = 27.0
l[14, 19, B, 22] = 9.0
l[14, 19, B, 28] = 11.0
l[15, 29, A, 5] = 6.0
l[15, 29, A, 27] = 3.0
l[15, 29, A, 29] = 7.0
l[17, 18, B, 18] = 21.0
l[17, 18, B, 28] = 11.0
l[18, 28, B, 28] = 11.0
l[19, 6, B, 7] = 25.0
l[19, 6, B, 17] = 31.0
l[19, 6, B, 18] = 21.0
l[19, 6, B, 22] = 9.0
l[19, 6, B, 28] = 11.0
l[20, 15, A, 5] = 6.0
l[20, 15, A, 15] = 34.0
l[20, 15, A, 27] = 3.0
l[20, 15, A, 29] = 7.0
l[21, 27, A, 10] = 22.0
l[21, 27, A, 12] = 31.0
l[21, 27, A, 13] = 29.0
l[21, 27, A, 15] = 34.0
l[21, 27, A, 27] = 28.0
l[22, 17, B, 17] = 31.0
l[22, 17, B, 18] = 21.0
l[22, 17, B, 28] = 11.0
l[23, 4, A, 5] = 6.0
l[23, 4, A, 10] = 22.0
l[23, 4, A, 15] = 34.0
l[23, 4, A, 20] = 31.0
l[23, 4, A, 27] = 3.0
l[23, 4, A, 29] = 7.0
l[24, 12, A, 2] = 23.0
l[24, 12, A, 5] = 6.0
l[24, 12, A, 8] = 1.0
l[24, 12, A, 12] = 1.0
l[24, 12, A, 20] = 31.0
l[24, 12, A, 23] = 21.0
l[24, 12, A, 27] = 3.0
l[24, 12, A, 29] = 7.0
l[26, 24, A, 2] = 23.0
