Processando o arquivo: D:/rafaelvc/SUPERCODIGO/dados\vrps_8037.dat
status= OPTIMAL
ID = 8037
Numero de clientes = 20
OF (custo) = 693.9100000000001
Best Objective = 693.9100000000001
Best Bound = 693.9099999999999
GAP = 0.0%
x[1, 11, B] = 1.0
x[2, 13, A] = 1.0
x[3, 2, A] = 1.0
x[4, 7, A] = 1.0
x[5, 18, A] = 1.0
x[6, 12, B] = 1.0
x[7, 17, A] = 1.0
x[8, 10, B] = 1.0
x[9, 6, B] = 1.0
x[10, 9, B] = 1.0
x[11, 8, B] = 1.0
x[12, 14, B] = 1.0
x[13, 19, A] = 1.0
x[14, B, B] = 1.0
x[15, A, A] = 1.0
x[16, 20, A] = 1.0
x[17, 5, A] = 1.0
x[18, 16, A] = 1.0
x[19, 4, A] = 1.0
x[20, 15, A] = 1.0
x[A, 3, A] = 1.0
x[B, 1, B] = 1.0
l[1, 11, B, 9] = 23.0
l[1, 11, B, 10] = 33.0
l[1, 11, B, 11] = 26.0
l[1, 11, B, 12] = 32.0
l[2, 13, A, 4] = 17.0
l[2, 13, A, 5] = 32.0
l[2, 13, A, 7] = 16.0
l[2, 13, A, 13] = 5.0
l[2, 13, A, 15] = 3.0
l[2, 13, A, 17] = 7.0
l[2, 13, A, 18] = 8.0
l[2, 13, A, 19] = 23.0
l[2, 13, A, 20] = 9.0
l[3, 2, A, 2] = 31.0
l[3, 2, A, 4] = 17.0
l[3, 2, A, 5] = 32.0
l[3, 2, A, 7] = 16.0
l[3, 2, A, 13] = 5.0
l[3, 2, A, 15] = 3.0
l[3, 2, A, 17] = 7.0
l[3, 2, A, 18] = 8.0
l[3, 2, A, 19] = 23.0
l[3, 2, A, 20] = 9.0
l[4, 7, A, 5] = 32.0
l[4, 7, A, 7] = 16.0
l[4, 7, A, 15] = 3.0
l[4, 7, A, 17] = 7.0
l[4, 7, A, 18] = 8.0
l[4, 7, A, 20] = 9.0
l[5, 18, A, 15] = 3.0
l[5, 18, A, 18] = 8.0
l[5, 18, A, 20] = 9.0
l[6, 12, B, 12] = 32.0
l[7, 17, A, 5] = 32.0
l[7, 17, A, 15] = 3.0
l[7, 17, A, 17] = 7.0
l[7, 17, A, 18] = 8.0
l[7, 17, A, 20] = 9.0
l[8, 10, B, 9] = 23.0
l[8, 10, B, 10] = 33.0
l[8, 10, B, 12] = 32.0
l[9, 6, B, 12] = 32.0
l[10, 9, B, 9] = 23.0
l[10, 9, B, 12] = 32.0
l[11, 8, B, 9] = 23.0
l[11, 8, B, 10] = 33.0
l[11, 8, B, 12] = 32.0
l[13, 19, A, 4] = 17.0
l[13, 19, A, 5] = 32.0
l[13, 19, A, 7] = 16.0
l[13, 19, A, 15] = 3.0
l[13, 19, A, 17] = 7.0
l[13, 19, A, 18] = 8.0
l[13, 19, A, 19] = 23.0
l[13, 19, A, 20] = 9.0
l[16, 20, A, 15] = 3.0
l[16, 20, A, 20] = 9.0
l[17, 5, A, 5] = 32.0
l[17, 5, A, 15] = 3.0
l[17, 5, A, 18] = 8.0
l[17, 5, A, 20] = 9.0
l[18, 16, A, 15] = 3.0
l[18, 16, A, 20] = 9.0
l[19, 4, A, 4] = 17.0
l[19, 4, A, 5] = 32.0
l[19, 4, A, 7] = 16.0
l[19, 4, A, 15] = 3.0
l[19, 4, A, 17] = 7.0
l[19, 4, A, 18] = 8.0
l[19, 4, A, 20] = 9.0
l[20, 15, A, 15] = 3.0
l[A, 3, A, 2] = 31.0
l[A, 3, A, 3] = 27.0
l[A, 3, A, 4] = 17.0
l[A, 3, A, 5] = 32.0
l[A, 3, A, 7] = 16.0
l[A, 3, A, 13] = 5.0
l[A, 3, A, 15] = 3.0
l[A, 3, A, 17] = 7.0
l[A, 3, A, 18] = 8.0
l[A, 3, A, 19] = 23.0
l[A, 3, A, 20] = 9.0
l[B, 1, B, 1] = 31.0
l[B, 1, B, 9] = 23.0
l[B, 1, B, 10] = 33.0
l[B, 1, B, 11] = 26.0
l[B, 1, B, 12] = 32.0
m[1, 11, B, 1] = 32.0
m[2, 13, A, 2] = 16.0
m[2, 13, A, 3] = 25.0
m[3, 2, A, 3] = 25.0
m[4, 7, A, 2] = 16.0
m[4, 7, A, 3] = 25.0
m[4, 7, A, 4] = 12.0
m[4, 7, A, 13] = 22.0
m[5, 18, A, 2] = 16.0
m[5, 18, A, 3] = 25.0
m[5, 18, A, 4] = 12.0
m[5, 18, A, 5] = 26.0
m[5, 18, A, 7] = 24.0
m[5, 18, A, 13] = 22.0
m[5, 18, A, 17] = 24.0
m[6, 12, B, 1] = 32.0
m[6, 12, B, 9] = 14.0
m[6, 12, B, 10] = 23.0
m[6, 12, B, 11] = 13.0
m[7, 17, A, 2] = 16.0
m[7, 17, A, 3] = 25.0
m[7, 17, A, 4] = 12.0
m[7, 17, A, 7] = 24.0
m[7, 17, A, 13] = 22.0
m[8, 10, B, 1] = 32.0
m[8, 10, B, 11] = 13.0
m[9, 6, B, 1] = 32.0
m[9, 6, B, 9] = 14.0
m[9, 6, B, 10] = 23.0
m[9, 6, B, 11] = 13.0
m[10, 9, B, 1] = 32.0
m[10, 9, B, 10] = 23.0
m[10, 9, B, 11] = 13.0
m[11, 8, B, 1] = 32.0
m[11, 8, B, 11] = 13.0
m[12, 14, B, 1] = 32.0
m[12, 14, B, 9] = 14.0
m[12, 14, B, 10] = 23.0
m[12, 14, B, 11] = 13.0
m[12, 14, B, 12] = 17.0
m[13, 19, A, 2] = 16.0
m[13, 19, A, 3] = 25.0
m[13, 19, A, 13] = 22.0
m[14, B, B, 1] = 32.0
m[14, B, B, 9] = 14.0
m[14, B, B, 10] = 23.0
m[14, B, B, 11] = 13.0
m[14, B, B, 12] = 17.0
m[15, A, A, 2] = 16.0
m[15, A, A, 3] = 25.0
m[15, A, A, 4] = 12.0
m[15, A, A, 5] = 26.0
m[15, A, A, 7] = 24.0
m[15, A, A, 13] = 22.0
m[15, A, A, 17] = 24.0
m[15, A, A, 20] = 27.0
m[16, 20, A, 2] = 16.0
m[16, 20, A, 3] = 25.0
m[16, 20, A, 4] = 12.0
m[16, 20, A, 5] = 26.0
m[16, 20, A, 7] = 24.0
m[16, 20, A, 13] = 22.0
m[16, 20, A, 17] = 24.0
m[17, 5, A, 2] = 16.0
m[17, 5, A, 3] = 25.0
m[17, 5, A, 4] = 12.0
m[17, 5, A, 7] = 24.0
m[17, 5, A, 13] = 22.0
m[17, 5, A, 17] = 24.0
m[18, 16, A, 2] = 16.0
m[18, 16, A, 3] = 25.0
m[18, 16, A, 4] = 12.0
m[18, 16, A, 5] = 26.0
m[18, 16, A, 7] = 24.0
m[18, 16, A, 13] = 22.0
m[18, 16, A, 17] = 24.0
m[19, 4, A, 2] = 16.0
m[19, 4, A, 3] = 25.0
m[19, 4, A, 13] = 22.0
m[20, 15, A, 2] = 16.0
m[20, 15, A, 3] = 25.0
m[20, 15, A, 4] = 12.0
m[20, 15, A, 5] = 26.0
m[20, 15, A, 7] = 24.0
m[20, 15, A, 13] = 22.0
m[20, 15, A, 17] = 24.0
m[20, 15, A, 20] = 27.0
n[1, 11, B, 6] = 2.0
n[1, 11, B, 8] = 18.0
n[2, 13, A, 15] = 4.0
n[2, 13, A, 18] = 1.0
n[3, 2, A, 15] = 4.0
n[3, 2, A, 18] = 1.0
n[4, 7, A, 15] = 4.0
n[4, 7, A, 18] = 1.0
n[5, 18, A, 15] = 9.0
n[5, 18, A, 16] = 14.0
n[5, 18, A, 18] = 1.0
n[6, 12, B, 14] = 20.0
n[7, 17, A, 15] = 4.0
n[7, 17, A, 18] = 1.0
n[8, 10, B, 6] = 2.0
n[9, 6, B, 6] = 7.0
n[9, 6, B, 14] = 20.0
n[10, 9, B, 6] = 2.0
n[11, 8, B, 6] = 2.0
n[11, 8, B, 8] = 18.0
n[12, 14, B, 14] = 20.0
n[13, 19, A, 15] = 4.0
n[13, 19, A, 18] = 1.0
n[13, 19, A, 19] = 9.0
n[16, 20, A, 15] = 9.0
n[17, 5, A, 15] = 9.0
n[17, 5, A, 16] = 14.0
n[17, 5, A, 18] = 1.0
n[18, 16, A, 15] = 9.0
n[18, 16, A, 16] = 14.0
n[19, 4, A, 15] = 4.0
n[19, 4, A, 18] = 1.0
n[20, 15, A, 15] = 9.0
Tempo de execução: 11.3861182 segundos
