Processando o arquivo: E:/rafaelvc/SUPERCODIGO/dados\vrps_3L.dat
status= OPTIMAL
ID = 3
Numero de clientes = 20
OF (custo) = 234.72
Best Objective = 234.72
Best Bound = 234.72
GAP = 0.0%
x[1, 15, A] = 1.0
x[2, A, A] = 1.0
x[3, 2, A] = 1.0
x[4, 8, A] = 1.0
x[5, 14, A] = 1.0
x[6, 9, A] = 1.0
x[7, B, B] = 1.0
x[8, 3, A] = 1.0
x[9, 5, A] = 1.0
x[10, 7, B] = 1.0
x[11, 6, A] = 1.0
x[12, 19, B] = 1.0
x[13, 20, B] = 1.0
x[14, 17, A] = 1.0
x[15, 4, A] = 1.0
x[16, 1, A] = 1.0
x[17, A, A] = 1.0
x[18, 16, A] = 1.0
x[19, 10, B] = 1.0
x[20, 12, B] = 1.0
x[A, 11, A] = 1.0
x[A, 18, A] = 1.0
x[B, 13, B] = 1.0
z[1, A, A] = 1.0
z[2, A, A] = 1.0
z[2, B, A] = 1.0
z[3, A, A] = 1.0
z[4, A, A] = 1.0
z[5, A, A] = 1.0
z[6, A, A] = 1.0
z[7, B, B] = 1.0
z[8, A, A] = 1.0
z[9, A, A] = 1.0
z[10, B, B] = 1.0
z[11, A, A] = 1.0
z[12, B, B] = 1.0
z[13, B, B] = 1.0
z[14, A, A] = 1.0
z[15, A, A] = 1.0
z[16, A, A] = 1.0
z[16, B, A] = 1.0
z[17, A, A] = 1.0
z[17, B, A] = 1.0
z[18, A, A] = 1.0
z[19, B, B] = 1.0
z[20, B, B] = 1.0
l[1, 15, A, 2] = 7.0
l[1, 15, A, 3] = 13.0
l[1, 15, A, 4] = 19.0
l[1, 15, A, 8] = 9.0
l[1, 15, A, 15] = 8.0
l[3, 2, A, 2] = 7.0
l[4, 8, A, 2] = 7.0
l[4, 8, A, 3] = 13.0
l[4, 8, A, 8] = 9.0
l[5, 14, A, 14] = 20.0
l[5, 14, A, 17] = 2.0
l[6, 9, A, 5] = 26.0
l[6, 9, A, 9] = 16.0
l[6, 9, A, 14] = 20.0
l[6, 9, A, 17] = 2.0
l[8, 3, A, 2] = 7.0
l[8, 3, A, 3] = 13.0
l[9, 5, A, 5] = 26.0
l[9, 5, A, 14] = 20.0
l[9, 5, A, 17] = 2.0
l[10, 7, B, 7] = 5.0
l[11, 6, A, 5] = 26.0
l[11, 6, A, 6] = 3.0
l[11, 6, A, 9] = 16.0
l[11, 6, A, 14] = 20.0
l[11, 6, A, 17] = 2.0
l[12, 19, B, 7] = 5.0
l[12, 19, B, 10] = 16.0
l[12, 19, B, 19] = 17.0
l[13, 20, B, 7] = 5.0
l[13, 20, B, 10] = 16.0
l[13, 20, B, 12] = 19.0
l[13, 20, B, 19] = 17.0
l[13, 20, B, 20] = 17.0
l[14, 17, A, 17] = 2.0
l[15, 4, A, 2] = 7.0
l[15, 4, A, 3] = 13.0
l[15, 4, A, 4] = 19.0
l[15, 4, A, 8] = 9.0
l[16, 1, A, 1] = 10.0
l[16, 1, A, 2] = 7.0
l[16, 1, A, 3] = 13.0
l[16, 1, A, 4] = 19.0
